443     J/\psi                   J/\psi
445     \chi_{c2}(1P)            \chi_{c2}(1P)
511     B^{0}                    B^{0}
513     B^{*0}                   B^{*0}
515     B_{2}^{*0}               B_{2}^{*0}
521     B^{+}                    B^{-}
523     B^{*+}                   B^{*-}
525     B_{2}^{*+}               B_{2}^{*-}
531     B_{s}^{0}                B_{s}^{0}
533     B_{s}^{*0}               B_{s}^{*0}
535     B_{s2}^{*0}              B_{s2}^{*0}
541     B_{c}^{+}                B_{c}^{-}
555     \chi_{\mathrm{b}2}(1P)   \chi_{\mathrm{b}2}(1P)
553     \Upsilon(1S)             \Upsilon(1S)
1114    \Delta^{-}               \Delta^{+}
1116    \Delta(1905)^{-}         \Delta(1905)^{+}
1118    \Delta(1950)^{-}         \Delta(1950)^{+}
1212    \Delta(1620)^{+}         \Delta(1620)^{+}
1216    \Delta(1905)^{0}         \Delta(1905)^{0}
2112    \Delta(1620)^{0}         \Delta(1620)^{0}
2114    \Delta^{0}               \Delta^{0}
2118    \Delta(1950)^{0}         \Delta(1950)^{0}
2126    \Delta(1905)^{+}         \Delta(1905)^{-}
2214    \Delta^{+}               \Delta^{-}
2218    \Delta(1950)^{+}         \Delta(1950)^{-}
2222    \Delta(1620)^{++}        \Delta(1620)^{--}
2224    \Delta(1232)^{++}        \Delta(1232)^{--}
2226    \Delta(1905)^{++}        \Delta(1905)^{--}
2228    \Delta(1950)^{++}        \Delta(1950)^{--}
1112    \Delta(1620)^{-}         \Delta(1620)^{+}
11114   \Delta(1700)^{-}         \Delta(1700)^{+}
12114   \Delta(1700)^{0}         \Delta(1700)^{0}
12214   \Delta(1700)^{+}         \Delta(1700)^{-}
12224   \Delta(1700)^{++}        \Delta(1700)^{--}
21112   \Delta(1910)^{-}         \Delta(1910)^{+}
21212   \Delta(1910)^{+}         \Delta(1910)^{+}
22222   \Delta(1910)^{++}        \Delta(1910)^{--}
31114   \Delta(1600)^{-}         \Delta(1600)^{+}
32114   \Delta(1600)^{0}         \Delta(1600)^{0}
32214   \Delta(1600)^{+}         \Delta(1600)^{-}
32224   \Delta(1600)^{++}        \Delta(1600)^{--}
1214    N(1520)^{0}              N(1520)^{0}
1218    N(2190)^{0}              N(2190)^{0}
2116    N(1675)^{0}              N(1675)^{0}
2124    N(1520)^{+}              N(1520)^{-}
2128    N(2190)^{+}              N(2190)^{-}
2216    N(1675)^{+}              N(1675)^{-}
21214   N(1700)^{0}              N(1700)^{0}
22112   N(1535)^{0}              N(1535)^{0}
22124   N(1700)^{+}              N(1700)^{-}
